10-12-01  1:25:37	0.0.0.0	190.220.8.194
10-12-01  1:25:42	0.0.0.0	190.220.8.194
10-12-01  1:25:43	0.0.0.0	190.220.8.194
10-12-01  1:25:49	0.0.0.0	190.220.8.194
10-12-01  1:26:05	192.168.44.134	89.255.114.43
10-12-01  1:26:05	192.168.44.134	89.255.114.43
10-12-01  1:26:46	192.168.3.44	189.3.234.2
10-12-01  1:26:53	88.243.41.172	66.249.82.129
10-12-01  1:26:55	88.243.41.172	66.249.82.129
10-12-01  1:26:56	88.243.41.172	66.249.82.129
10-12-01  1:27:12	95.178.136.51	209.85.226.81
10-12-01  1:28:04	192.168.3.44	189.3.234.2
10-12-01  1:28:05	192.168.3.44	189.3.234.2
10-12-01  1:28:05	192.168.3.44	189.3.234.2
10-12-01  1:28:14	89.105.41.140	74.125.16.66
10-12-01  1:29:36	192.168.44.134	89.255.114.43
10-12-01  1:29:41	192.168.44.134	89.255.114.43
10-12-01  1:29:41	192.168.44.134	89.255.114.43
10-12-01  1:30:38	93.140.124.177	66.249.82.129
10-12-01  1:31:11	192.168.2.183	212.98.173.147
10-12-01  1:31:26	81.0.158.208	74.125.16.66
10-12-01  1:31:31	10.178.10.197	213.149.120.154
10-12-01  1:31:33	10.178.10.197	213.149.120.154
10-12-01  1:31:43	127.0.0.1	82.142.142.50
10-12-01  1:31:45	192.168.2.183	212.98.173.147
10-12-01  1:31:46	192.168.2.183	212.98.173.147
10-12-01  1:31:48	116.15.28.177	220.255.4.30
10-12-01  1:31:50	127.0.0.1	82.142.142.50
10-12-01  1:31:52	127.0.0.1	82.142.142.50
10-12-01  1:31:52	116.15.28.177	220.255.4.30
10-12-01  1:31:53	116.15.28.177	220.255.4.30
10-12-01  1:31:55	127.0.0.1	82.142.142.50
10-12-01  1:31:58	127.0.0.1	82.142.142.50
10-12-01  1:32:00	10.178.10.197	213.149.120.154
10-12-01  1:32:01	10.178.10.197	213.149.120.154
10-12-01  1:32:01	192.168.2.183	212.98.173.147
10-12-01  1:32:18	116.15.28.177	220.255.4.30
10-12-01  1:32:20	192.168.44.134	89.255.114.43
10-12-01  1:32:24	192.168.44.134	89.255.114.43
10-12-01  1:32:24	192.168.44.134	89.255.114.43
10-12-01  1:32:40	192.168.44.134	89.255.114.43
10-12-01  1:32:43	192.168.44.134	89.255.114.43
10-12-01  1:32:43	192.168.44.134	89.255.114.43
10-12-01  1:33:36	127.0.0.1	82.142.142.50
10-12-01  1:33:38	127.0.0.1	82.142.142.50
10-12-01  1:33:38	127.0.0.1	82.142.142.50
10-12-01  1:33:43	192.168.0.24	203.118.46.170
10-12-01  1:33:44	192.168.0.24	203.118.46.170
10-12-01  1:33:48	90.177.60.71	209.85.228.82
10-12-01  1:33:53	192.168.0.24	203.118.46.170
10-12-01  1:34:01	192.168.44.134	89.255.114.43
10-12-01  1:34:04	192.168.44.134	89.255.114.43
10-12-01  1:34:04	192.168.44.134	89.255.114.43
10-12-01  1:34:38	82.146.77.184	74.125.16.66
10-12-01  1:34:39	192.168.0.24	203.118.46.170
10-12-01  1:34:41	192.168.0.24	203.118.46.170
10-12-01  1:34:41	192.168.0.24	203.118.46.170
10-12-01  1:34:44	192.168.0.24	203.118.46.170
10-12-01  1:34:44	97.89.71.184	64.233.172.18
10-12-01  1:34:45	97.89.71.184	64.233.172.18
10-12-01  1:34:46	97.89.71.184	64.233.172.18
10-12-01  1:34:50	127.0.0.1	82.142.142.50
10-12-01  1:34:51	127.0.0.1	82.142.142.50
10-12-01  1:34:52	127.0.0.1	82.142.142.50
10-12-01  1:34:54	189.31.75.196	74.125.46.82
10-12-01  1:34:57	192.168.0.24	203.118.46.170
10-12-01  1:34:58	192.168.0.24	203.118.46.170
10-12-01  1:34:58	192.168.0.24	203.118.46.170
10-12-01  1:34:59	192.168.0.24	203.118.46.170
10-12-01  1:35:02	192.168.0.24	203.118.46.170
10-12-01  1:35:03	192.168.0.24	203.118.46.170
10-12-01  1:35:03	127.0.0.1	82.142.142.50
10-12-01  1:35:03	192.168.0.24	203.118.46.170
10-12-01  1:35:04	192.168.0.24	203.118.46.170
10-12-01  1:35:05	127.0.0.1	82.142.142.50
10-12-01  1:35:05	127.0.0.1	82.142.142.50
10-12-01  1:35:39	82.146.77.184	74.125.16.66
10-12-01  1:36:02	10.0.0.1	213.154.206.95
10-12-01  1:36:22	95.208.175.49	74.125.16.66
10-12-01  1:36:24	93.140.124.177	66.249.82.129
